Initial number of nuclei A : 100
Initial number of nuclei B : 0
Time constant : 1.00 s
Time step : 0.01 s
Total time : 10.00 s
Time		Number of nuclei A		Number of nuclei B
7.93		    50.000006			    49.999994
7.94		    50.000005			    49.999995
7.95		    50.000005			    49.999995
7.96		    50.000005			    49.999995
7.97		    50.000005			    49.999995
7.98		    50.000005			    49.999995
7.99		    50.000005			    49.999995
8.00		    50.000005			    49.999995
8.01		    50.000005			    49.999995
8.02		    50.000005			    49.999995
8.03		    50.000005			    49.999995
8.04		    50.000004			    49.999996
8.05		    50.000004			    49.999996
8.06		    50.000004			    49.999996
8.07		    50.000004			    49.999996
8.08		    50.000004			    49.999996
8.09		    50.000004			    49.999996
8.10		    50.000004			    49.999996
8.11		    50.000004			    49.999996
8.12		    50.000004			    49.999996
8.13		    50.000004			    49.999996
8.14		    50.000004			    49.999996
8.15		    50.000004			    49.999996
8.16		    50.000003			    49.999997
8.17		    50.000003			    49.999997
8.18		    50.000003			    49.999997
8.19		    50.000003			    49.999997
8.20		    50.000003			    49.999997
8.21		    50.000003			    49.999997
8.22		    50.000003			    49.999997
8.23		    50.000003			    49.999997
8.24		    50.000003			    49.999997
8.25		    50.000003			    49.999997
8.26		    50.000003			    49.999997
8.27		    50.000003			    49.999997
8.28		    50.000003			    49.999997
8.29		    50.000003			    49.999997
8.30		    50.000003			    49.999997
8.31		    50.000003			    49.999997
8.32		    50.000003			    49.999997
8.33		    50.000002			    49.999998
8.34		    50.000002			    49.999998
8.35		    50.000002			    49.999998
8.36		    50.000002			    49.999998
8.37		    50.000002			    49.999998
8.38		    50.000002			    49.999998
8.39		    50.000002			    49.999998
8.40		    50.000002			    49.999998
8.41		    50.000002			    49.999998
8.42		    50.000002			    49.999998
